1,African and African American Studies,
2,Anthropology,
3,Applied Mathematics,
4,Astrophysics,
5,Biomedical Engineering,
6,Chemical and Physical Biology,
7,Chemistry,
8,Chemistry and Physics,
9,Classics,
10,Comparative Study of Religion,
11,Computer Science,
12,Earth and Planetary Sciences,
13,East Asian Studies,
14,Economics,
15,Engineering Sciences,
16,Engineering Sciences (SB),
17,English,
18,Environmental Science and Public Policy,
19,Folklore and Mythology,
20,Germanic Languages and Literatures,
21,Government,
22,History,
23,History and Literature,
24,History and Science,
25,History of Art and Architecture,
26,Human Developmental and Regenerative Bio,
27,Human Evolutionary Biology,
28,Linguistics,
29,Literature,
30,Mathematics,
31,Molecular and Cellular Biology,
32,Music,
33,Near Eastern Languages and Civilizations,
34,Neurobiology,
35,Organismic and Evolutionary Biology,
36,Philosophy,
37,Physics,
38,Psychology,
39,Romance Languages and Literatures,
40,Slavic Languages and Literatures,
41,Social Studies,
42,Sociology,
43,South Asian Studies,
44,Special Concentrations,
45,Statistics,
46,Studies of Women, and Sexuality
47,Visual and Environmental Studies,
